fleet_vehicle_id,fleet_id,cycle_number,created_at,retired_at
313,92701,14069,2023-06-21 19:15:48.0,
9090,16215,8648,2023-06-21 19:27:43.0,
446,92607,11995,2023-06-22 12:02:10.0,
3040,59235,11870,2023-06-22 12:55:35.0,
5653,5457,14177,2023-06-22 13:25:40.0,
9092,16215,8714,2023-06-22 13:30:52.0,
8575154 Naegeli,92662,13915,2023-06-22 13:56:36.0,
9091,16215,8705,2023-06-22 14:09:46.0,
9093,16215,8658,2023-06-22 16:36:51.0,
368,92732,13911,2023-06-22 17:07:33.0,
5671,5457,12879,2023-06-22 17:45:33.0,
9094,16215,5732,2023-06-22 19:39:55.0,
CC1310QA,92743,4789,2023-06-23 06:27:28.0,2023-06-29 07:15:06.0
8575163 Naegeli,92662,13924,2023-06-23 13:37:24.0,
9095,16215,5738,2023-06-23 13:52:32.0,
453740,92667,9954,2023-06-23 14:31:14.0,
9097,16215,14232,2023-06-23 15:54:24.0,
PRIUS,354,10794,2023-06-23 17:32:21.0,
5655,5457,14236,2023-06-23 18:18:36.0,
450,92749,13705,2023-06-23 18:22:51.0,
20026,16215,14259,2023-06-23 20:25:01.0,
310,92732,13953,2023-06-23 22:43:27.0,
8575162 Naegeli ,92662,13935,2023-06-24 13:51:57.0,
312,92732,13956,2023-06-24 18:13:13.0,
8575164 Naegeli ,92662,13735,2023-06-24 19:15:46.0,
384,92732,13909,2023-06-24 21:34:03.0,
2310,92732,13951,2023-06-25 14:53:54.0,
20031,16215,14254,2023-06-26 11:38:43.0,
496624,92667,13960,2023-06-26 14:52:00.0,
9082,16215,8668,2023-06-26 15:06:12.0,
9096,16215,5635,2023-06-26 19:17:08.0,
1461400,92666,14008,2023-06-26 23:52:17.0,
5734,5457,8301,2023-06-27 12:46:00.0,
9098,16215,14382,2023-06-27 14:16:43.0,
9099,16215,5135,2023-06-27 14:28:31.0,
9571939,83,14034,2023-06-27 15:55:12.0,
8575165 Naegeli,92662,13918,2023-06-27 16:05:44.0,
248153,35063,3693,2023-06-27 16:16:40.0,
94014,92711,13592,2023-06-27 19:29:28.0,
248220,35063,4850,2023-06-27 19:32:35.0,
9571938,83,14039,2023-06-27 20:10:15.0,
9101,16215,14473,2023-06-28 14:48:25.0,
248159,35063,4854,2023-06-28 15:05:19.0,
8575166 Naegeli ,92662,13826,2023-06-28 16:28:06.0,
8575067 PV Fluids ,92662,12513,2023-06-28 17:22:15.0,
248217,35063,4848,2023-06-28 18:44:29.0,
235505,35063,4381,2023-06-28 20:09:29.0,
9102,16215,5181,2023-06-28 20:11:51.0,
369,92701,14044,2023-06-28 21:21:23.0,
313,92732,13947,2023-06-28 22:52:39.0,
QA24,92743,4789,2023-06-29 11:03:16.0,2023-07-11 12:32:27.0
448,92749,13702,2023-06-29 12:51:10.0,
5698,5457,14548,2023-06-29 14:04:07.0,
9107,16215,14551,2023-06-29 14:10:22.0,
9106,16215,14544,2023-06-29 14:12:50.0,
8575030 S. Texas Brick ,92662,13829,2023-06-29 14:41:24.0,
436,92749,13706,2023-06-29 15:59:29.0,
632,92751,14012,2023-06-29 17:39:09.0,
8575032 S. Texas Brick ,92662,13842,2023-06-29 19:09:56.0,
625,92751,14042,2023-06-29 19:51:37.0,
9104,16215,4243,2023-06-29 20:10:14.0,
9109,16215,5632,2023-06-30 13:33:06.0,
9110,16215,5640,2023-06-30 14:56:21.0,
442,92749,13701,2023-06-30 15:36:32.0,
5652,5457,13644,2023-06-30 16:04:40.0,
7103,92732,13920,2023-06-30 18:51:03.0,
359,92701,14018,2023-06-30 21:58:27.0,
9112,16215,8724,2023-07-03 14:23:50.0,
9108,16215,14677,2023-07-03 14:49:21.0,
5656,5457,14678,2023-07-03 15:24:13.0,
3051,59235,5715,2023-07-03 16:08:05.0,
162,92723,12183,2023-07-03 18:53:15.0,
351,92701,14059,2023-07-03 21:48:04.0,
PROD1,92698,10645,2023-07-04 07:20:21.0,2023-07-20 13:19:48.0
TEST0704,92698,14125,2023-07-04 07:26:19.0,2023-08-23 08:55:22.0
432,92749,13708,2023-07-04 14:45:31.0,
438,92749,13846,2023-07-05 12:53:59.0,
9011,16215,14681,2023-07-05 13:51:27.0,
8575031 S. Texas Brick ,92662,13925,2023-07-05 16:20:39.0,
9571906,83,14031,2023-07-05 16:40:40.0,
9114,16215,3274,2023-07-05 19:13:44.0,
9115,16215,5202,2023-07-05 19:35:25.0,
9113,16215,14694,2023-07-06 13:41:39.0,
5661,5457,12862,2023-07-06 15:47:22.0,
496638,92667,13967,2023-07-06 18:18:24.0,
1461416,92666,14020,2023-07-06 18:38:12.0,
8271021,92667,13785,2023-07-06 21:30:10.0,
377,92701,14068,2023-07-06 22:00:15.0,
QA2402VOLAB,92743,4789,2023-07-07 09:24:43.0,2023-07-11 12:32:11.0
8575065 Triple S ,92662,13928,2023-07-07 13:25:36.0,
9571964,83,14028,2023-07-07 15:49:58.0,
9571963,83,14033,2023-07-07 16:19:39.0,
272551,92666,12764,2023-07-07 17:15:51.0,
230,92673,13873,2023-07-07 18:56:15.0,
4039,59235,12555,2023-07-10 13:54:19.0,
227305,35063,4762,2023-07-10 16:14:34.0,
496642,92667,13964,2023-07-10 16:57:04.0,
303,92701,14049,2023-07-10 17:53:09.0,
VOLAB324QA,92743,4789,2023-07-11 13:49:12.0,2023-07-21 10:00:10.0
218777,63808,14744,2023-07-11 13:57:20.0,
9571806,83,14036,2023-07-11 14:28:58.0,
R41634,82,2750,2023-07-11 21:31:15.0,
R41256,82,2726,2023-07-11 22:31:27.0,
9571900,83,14035,2023-07-12 14:03:30.0,
8575145 Rental,92662,13902,2023-07-12 15:29:54.0,
8271071,92667,14460,2023-07-12 17:50:46.0,
1461417,92666,14019,2023-07-12 18:21:46.0,
7011,92622,11503,2023-07-12 19:38:52.0,
R41618,82,2730,2023-07-12 20:34:40.0,
9571605,83,11435,2023-07-12 21:06:56.0,
VOLTESTPROD51,92743,4344,2023-07-13 07:12:56.0,2023-07-19 12:21:09.0
218766,63808,14750,2023-07-13 10:19:12.0,
5665,5457,14752,2023-07-13 16:12:39.0,
9751903,83,13855,2023-07-13 16:23:43.0,
F009,92708,11668,2023-07-13 17:19:36.0,
R41632,82,2721,2023-07-13 20:31:02.0,
8575146  Rental ,92662,13926,2023-07-14 14:20:50.0,
5677,5457,14385,2023-07-14 15:57:43.0,
RICHARD,354,12285,2023-07-14 17:52:07.0,
8574958 Agile ,92662,12464,2023-07-14 18:26:19.0,
F005,92708,11660,2023-07-14 18:33:11.0,
5175,92732,13954,2023-07-14 21:21:18.0,
383,92701,14073,2023-07-14 21:37:23.0,
94017,92711,13573,2023-07-15 19:03:49.0,
R41630,82,2625,2023-07-16 19:28:12.0,
R41248,82,2742,2023-07-16 22:54:56.0,
1282,86427,6218,2023-07-17 15:12:31.0,
9116,16215,2896,2023-07-18 15:07:54.0,
F007,92708,11665,2023-07-18 16:45:01.0,
496639,92667,13961,2023-07-18 17:03:40.0,
1279,86427,6224,2023-07-18 20:09:28.0,
"Rental, 243950, UP2226",92752,14104,2023-07-18 20:40:53.0,
8271072,92667,14458,2023-07-19 17:25:54.0,
"Rental, 243487, UP2225",92752,13648,2023-07-19 18:21:34.0,
1283,86427,6238,2023-07-19 19:28:19.0,
9118,16215,2593,2023-07-19 19:41:48.0,
248154,35063,3400,2023-07-19 19:44:57.0,
STAGINGVOLAB,92743,4789,2023-07-20 12:11:49.0,2023-07-20 12:55:42.0
9571958,92662,14712,2023-07-20 12:23:19.0,
5662,5457,14555,2023-07-20 12:42:25.0,
2676,358,10645,2023-07-20 13:18:16.0,
PROD7582,92698,10645,2023-07-20 13:19:03.0,2023-08-23 08:47:29.0
9571904,83,14707,2023-07-20 14:04:49.0,
11554,92746,14584,2023-07-20 15:44:45.0,
Rental,92752,13655,2023-07-20 16:07:27.0,
236737,92755,11570,2023-07-20 16:35:00.0,
5177,92732,13908,2023-07-20 17:24:34.0,
10072,92746,14467,2023-07-20 19:20:16.0,
